customerId,shipmentidentifier,eventType,latitude,longitude,utcTimestamp,eventStopNumber,ETA
1660077742633,12510264,POSITION,48.910258,-123.740450,2024-11-08T16:05:00, ,2024-11-08T12:51:00
1660077742633,BBHY1359007PP02,DELIVERED,41.072942,-84.962382,2024-11-08T15:15:00,2,2024-11-08T08:17:00
1660077742633,00328860067775 913,POSITION,31.498575,-103.241180,2024-11-08T15:11:00, ,2024-11-09T07:38:00
1660077742633,12510264,DEPARTED,47.976763,-122.190350,2024-11-07T19:53:00,1,2024-11-07T16:01:00
1660077742633,12501780,DELIVERED,45.298716,-85.252194,2024-11-07T19:35:00,2,2024-11-07T15:22:00
1660077742633,12503126,DELIVERED,44.996711,-91.728798,2024-11-07T19:02:00,2,2024-11-07T23:04:00
1660077742633,12505535,DELIVERED,45.133603,-96.062829,2024-11-07T16:36:00,2,2024-11-07T11:09:00
1660077742633,00328860067775 913,DEPARTED,31.762869,-106.362000,2024-11-07T15:38:00,1,2024-11-08T12:49:00
1660077742633,12505090,DELIVERED,41.295933,-84.549911,2024-11-07T14:47:00,2,2024-11-07T08:30:00
1660077742633,00328860067774 107,DELIVERED,31.854670,-101.801670,2024-11-07T14:30:00,2,2024-11-07T03:25:00
1660077742633,12505535,DEPARTED,41.543545,-87.938275,2024-11-06T20:38:00,1,2024-11-07T01:38:00
1660077742633,12501780,DEPARTED,41.326485,-91.201101,2024-11-06T19:01:00,1,2024-11-07T01:37:00
1660077742633,00328860067774 107,DEPARTED,29.785585,-95.277694,2024-11-06T18:15:00,1,2024-11-06T23:45:00
1660077742633,12505090,DEPARTED,39.267088,-76.609734,2024-11-06T16:57:00,1,2024-11-06T21:30:00
1660077742633,12505085,DELIVERED,40.480442,-80.258567,2024-11-05T20:11:00,2,2024-11-05T16:30:00
1660077742633,12505085,DEPARTED,39.333577,-77.034177,2024-11-04T23:03:00,1,2024-11-04T19:49:00
1660077742633,BBHY1359007PP02,DEPARTED,33.623406,-84.532456,2024-11-04T15:53:00,1,2024-11-04T23:02:00
1660077742633,12498166,DELIVERED,30.438627,-91.179511,2024-11-01T20:27:00,2,2024-11-01T17:46:00
1660077742633,12497947,DELIVERED,29.981810,-95.420600,2024-11-01T20:21:00,2,2024-11-01T16:50:00
1660077742633,12503126,DEPARTED,40.092788,-76.118061,2024-11-01T19:17:00,1,2024-11-02T03:07:00
1660077742633,12503316,DELIVERED,33.619790,-84.459541,2024-11-01T11:54:00,2,2024-11-01T10:10:00
1660077742633,12499531,DELIVERED,45.085951,-94.352722,2024-10-31T20:55:00,2,2024-10-31T23:02:00
1660077742633,12496443,DELIVERED,33.601480,-114.524300,2024-10-31T19:27:00,2,2024-10-31T14:29:00
1660077742633,1084728 ,DELIVERED,31.902613,-106.580350,2024-10-31T17:28:00,2,2024-10-31T12:57:00
1660077742633,12498174,DELIVERED,40.718301,-82.903197,2024-10-31T16:35:00,2,2024-10-31T11:52:00
1660077742633,12499524,DELIVERED,43.786060,-79.650267,2024-10-31T15:23:00,2,2024-10-31T10:39:00
1660077742633,00328860067539232,DELIVERED,34.425079,-103.618700,2024-10-31T13:50:00,2,2024-10-31T18:46:00
1660077742633,12502060,DELIVERED,33.441135,-84.692550,2024-10-31T11:58:00,2,2024-10-31T07:16:00
1660077742633,12498166,DEPARTED,39.267722,-76.625284,2024-10-30T20:06:00,1,2024-10-31T08:00:00
1660077742633,12498174,DEPARTED,39.265683,-76.546212,2024-10-30T19:07:00,1,2024-10-30T22:53:00
1660077742633,12502060,DEPARTED,34.710750,-82.497556,2024-10-30T18:46:00,1,2024-10-30T17:20:00
1660077742633,12499524,DEPARTED,39.284134,-76.537534,2024-10-30T15:06:00,1,2024-10-30T19:30:00
1660077742633,12497947,DEPARTED,34.467870,-89.005420,2024-10-30T12:42:00,1,2024-10-30T15:34:00
1660077742633,12500584,DELIVERED,33.866116,-84.249171,2024-10-30T11:54:00,2,2024-10-30T08:07:00
1660077742633,12499333,DELIVERED,34.259364,-83.448848,2024-10-29T19:06:00,2,2024-10-29T16:20:00
1660077742633,12500584,DEPARTED,34.710292,-82.497600,2024-10-29T19:00:00,1,2024-10-29T17:34:00
1660077742633,12499531,DEPARTED,39.507498,-77.587356,2024-10-29T15:13:00,1,2024-10-30T02:09:00
1660077742633,12496443,DEPARTED,40.829670,-98.381250,2024-10-28T21:01:00,1,2024-10-29T19:18:00
1660077742633,12491070,DELIVERED,35.222374,-101.828890,2024-10-28T20:00:00,2,2024-10-28T17:29:00
1660077742633,00328860067539232,DEPARTED,29.785640,-95.277600,2024-10-28T19:13:00,1,2024-10-29T14:14:00
1660077742633,12499333,DEPARTED,34.824520,-82.447190,2024-10-28T17:29:00,1,2024-10-28T16:13:00
1660077742633,BBHY5459001PN16,DELIVERED,41.058350,-84.979221,2024-10-28T14:22:00,2,2024-10-28T07:14:00
1660077742633,12493805,DELIVERED,43.943065,-78.430227,2024-10-25T19:22:00,2,2024-10-25T15:51:00
1660077742633,12493805,DEPARTED,39.623798,-76.667616,2024-10-24T15:03:00,1,2024-10-24T18:39:00
1660077742633,BBHY5459001PN16,DEPARTED,29.941543,-89.976717,2024-10-24T13:33:00,1,2024-10-25T03:33:00
1660077742633,12491070,DEPARTED,39.072601,-76.906581,2024-10-22T21:07:00,1,2024-10-23T00:22:00
